Demojized,Captions,Latitude,Longitude,Retweet Count,Created (UTC),Full Text,Sentiment Score,Sentiment
#Guwahati #guwahaticity @ Guwahati Assam India  ,  Guwahati  guwahaticity,26.10452,91.5913099,0,2021-11-13 18:50:07,#Guwahati #guwahaticity @ Guwahati Assam India     Guwahati  guwahaticity,0,Neutral
Releasing today... @ Guwahati Assam India  , Releasing today...,26.10452,91.5913099,0,2021-11-14 02:08:53,Releasing today... @ Guwahati Assam India    Releasing today...,0,Neutral
Just posted a photo @ Gauhati  ,                                                                                                                                                                                                                                         ,26.150686,91.730339,0,2021-11-14 10:19:42,Just posted a photo @ Gauhati                                                                                                                                                                                                                                            ,0,Neutral
Clg time @ Bamunbori  , Clg time,26.19346467,91.81344863,0,2021-11-14 08:41:54,Clg time @ Bamunbori    Clg time,0,Neutral
#vegcheesesandwich #clubsandwich #mumbaistyle #grilledsandwich #flavourslive #addictedtoflavours #guwahatifoodie @…  #vegcheesesandwich #clubsandwich #mumbaistyle #grilledsandwich #flavourslive #addictedtoflavours #guwahatifoodie @ Addicted To Flavours  ,  vegcheesesandwich  clubsandwich  mumbaistyle  grilledsandwich  flavourslive  addictedtoflavours  guwahatifoodie,26.18163,91.740074,0,2021-11-14 09:42:23,#vegcheesesandwich #clubsandwich #mumbaistyle #grilledsandwich #flavourslive #addictedtoflavours #guwahatifoodie @…  #vegcheesesandwich #clubsandwich #mumbaistyle #grilledsandwich #flavourslive #addictedtoflavours #guwahatifoodie @ Addicted To Flavours     vegcheesesandwich  clubsandwich  mumbaistyle  grilledsandwich  flavourslive  addictedtoflavours  guwahatifoodie,-0.4,Negative
Happy children's day #happychildrensday @ ALISHAN GHAR  , Happy children s day  happychildrensday,26.18404252,91.7669,0,2021-11-14 04:15:10,Happy children's day #happychildrensday @ ALISHAN GHAR    Happy children s day  happychildrensday,0.8,Very Positive
I love myself enough to not settle for any less. @ Gauhati  ,,26.150686,91.730339,0,2021-11-14 06:21:12,I love myself enough to not settle for any less. @ Gauhati   ,0.111111111111111,Positive
"Food, family and fun!!

#saturdaysortedsparkling heart  

P.S. the last picture has my heart. @ Gams Delicacy  ", Food  family and fun     saturdaysorted    P.S. the last picture has my heart.,26.11386455,91.72581286,0,2021-11-13 16:47:38,"Food, family and fun!!

#saturdaysortedsparkling heart  

P.S. the last picture has my heart. @ Gams Delicacy    Food  family and fun     saturdaysorted    P.S. the last picture has my heart.",0.1921875,Positive
"Happy Children's Day wrapped gift bear balloon  @ Ajanta Path, Beltola  ", Happy Children s Day    ,26.12479348,91.79242056,0,2021-11-14 09:33:04,"Happy Children's Day wrapped gift bear balloon  @ Ajanta Path, Beltola    Happy Children s Day    ",0.8,Very Positive
"November 2021 A great Journey
#Ganeshsunar @ Assam  ", November 2021 A great Journey  Ganeshsunar,26.14,91.77,0,2021-11-13 14:58:34,"November 2021 A great Journey
#Ganeshsunar @ Assam    November 2021 A great Journey  Ganeshsunar",0.8,Very Positive
"Just posted a photo @ Balaji Temple, Guwahati.  ", Towards a wholesome local experience.   Explore the beauty of Northeast with Travel Northeast.   To book your next trip   contact us via mail or visit our website  www.thetravelnortheast.com  You can also DM us for any travel related enquiries and bookings.  Design   Concept   Team Travel Northeast.                                      We would love to show you our Food  Culture  Tradition  Dance  Music   our life.      travelnortheast   travelnortheastindia  travelnortheast  travelwithtravelnortheast   expedia  mmt  makemytrip  vocalforlocal  vocalforlocalindia  tourism  indiatourism  northeastindiatourism  incredibleindia  india  travelstagram  travelstories  quotes  quotestagram  quotesaboutlife  travelquotes,26.11600381,91.72532088,0,2021-11-13 15:24:24,"Just posted a photo @ Balaji Temple, Guwahati.    Towards a wholesome local experience.   Explore the beauty of Northeast with Travel Northeast.   To book your next trip   contact us via mail or visit our website  www.thetravelnortheast.com  You can also DM us for any travel related enquiries and bookings.  Design   Concept   Team Travel Northeast.                                      We would love to show you our Food  Culture  Tradition  Dance  Music   our life.      travelnortheast   travelnortheastindia  travelnortheast  travelwithtravelnortheast   expedia  mmt  makemytrip  vocalforlocal  vocalforlocalindia  tourism  indiatourism  northeastindiatourism  incredibleindia  india  travelstagram  travelstories  quotes  quotestagram  quotesaboutlife  travelquotes",0.125,Positive
#naturephotography #branches #naturegram #naturelover #photographycamera  @ashwinikumar gogoi @journalist ashwainikumargo…  #naturephotography #branches #naturegram #naturelover #photographycamera  @ashwinikumar gogoi @journalist ashwainikumargogoi #natur #awesome photographers #awesomeglobe #awesome earthpix #tree #Photography @ Gauhati  ,  naturephotography  branches  naturegram  naturelover  photography   ashwinikumar gogoi  journalist ashwainikumargogoi  natur  awesome photographers  awesomeglobe  awesome earthpix  tree  Photography,26.150686,91.730339,0,2021-11-13 18:42:29,#naturephotography #branches #naturegram #naturelover #photographycamera  @ashwinikumar gogoi @journalist ashwainikumargo…  #naturephotography #branches #naturegram #naturelover #photographycamera  @ashwinikumar gogoi @journalist ashwainikumargogoi #natur #awesome photographers #awesomeglobe #awesome earthpix #tree #Photography @ Gauhati     naturephotography  branches  naturegram  naturelover  photography   ashwinikumar gogoi  journalist ashwainikumargogoi  natur  awesome photographers  awesomeglobe  awesome earthpix  tree  Photography,1,Very Positive
Just posted a photo @ Chocoholic  , Happy children s day                                  chocoholic guwahati   CHOCOHOLIC  provides you exotic mouth watering homemade fresh   hygienic  chocolates and eggless cakes along with best dessert s in the town . We take advance orders for all occasions to serve you homebaked fresh yummy goodies.  We take orders for all the events    Marriage party dessert table   birthday parties   kitty parties etc .  Please call  70020 48976 for more information and pricing...  ORDER NOW    7002048976        CHOCOHOLIC GUWAHATI     guwahaticake  guwahaticity  guwahatiplus  guwahatiblogger  guwahatiblogger    guwahatidiaries  guwahatifoodie  guwahatihampers  guwahatitimes  guwahati diaries  guwahaticity    okguwahati  iitguwahati  guwahaticityfc  guwahatiassam  guwahatifoodie  assam  india  children  happychildrensday  reels  reel  trend  happychickens  chocoholicguwahati   viral   reelkarofeelkaro  trendigsong  viralsong  veganfood  vegcake  cake,26.15143874,91.74908984,0,2021-11-14 12:53:13,Just posted a photo @ Chocoholic    Happy children s day                                  chocoholic guwahati   CHOCOHOLIC  provides you exotic mouth watering homemade fresh   hygienic  chocolates and eggless cakes along with best dessert s in the town . We take advance orders for all occasions to serve you homebaked fresh yummy goodies.  We take orders for all the events    Marriage party dessert table   birthday parties   kitty parties etc .  Please call  70020 48976 for more information and pricing...  ORDER NOW    7002048976        CHOCOHOLIC GUWAHATI     guwahaticake  guwahaticity  guwahatiplus  guwahatiblogger  guwahatiblogger    guwahatidiaries  guwahatifoodie  guwahatihampers  guwahatitimes  guwahati diaries  guwahaticity    okguwahati  iitguwahati  guwahaticityfc  guwahatiassam  guwahatifoodie  assam  india  children  happychildrensday  reels  reel  trend  happychickens  chocoholicguwahati   viral   reelkarofeelkaro  trendigsong  viralsong  veganfood  vegcake  cake,0.566666666666667,Very Positive
Magnificent view of Shillong City &amp, Assam Bhawan. #winter #insta #ameturephotographer #ameturephotography…  Magnificent view of Shillong City &amp,26.1799751,91.7471307,0,2021-11-14 13:53:22,Magnificent view of Shillong City &amp  Assam Bhawan. #winter #insta #ameturephotographer #ameturephotography…  Magnificent view of Shillong City &amp,1,Very Positive
Sweet Simple @yamigautam red heart red heart  good night night with stars  @ Ghy  , Sweet Simple  yamigautam      good night  ,26.1811,91.73795,0,2021-11-14 15:36:31,Sweet Simple @yamigautam red heart red heart  good night night with stars  @ Ghy    Sweet Simple  yamigautam      good night  ,0.2625,Positive
When my Frist time journey in flight wilted flower  @ Lokpriya Gopinath Bordoloi International Arrival Terminal  , When my Frist time journey in flight  ,26.10548276,91.58809431,0,2021-11-14 18:09:37,When my Frist time journey in flight wilted flower  @ Lokpriya Gopinath Bordoloi International Arrival Terminal    When my Frist time journey in flight  ,0,Neutral
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-11-15 04:54:35,Just posted a photo @ Gauhati   ,0,Neutral
Just posted a photo @ Gauhati  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,26.150686,91.730339,0,2021-11-15 11:32:57,Just posted a photo @ Gauhati                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0,Neutral
"mosque  @ Kolkata, India  ",  ,26.141039,91.766471,0,2021-11-15 03:40:50,"mosque  @ Kolkata, India",0,Neutral
"Just posted a photo @ Diphu, Karbi Anglong, Assam  ", You look beautiful in white   ejangphotography  karbi anglong  karbianglongphotography  karbiwedding  karbichristianwedding  katwedding  katsweddingdimapur       s   godoxad400prophotography  weddinginspiration  weddingphotographer  kats wedding dresses,26.1524519,91.7893849,0,2021-11-15 06:19:39,"Just posted a photo @ Diphu, Karbi Anglong, Assam    You look beautiful in white   ejangphotography  karbi anglong  karbianglongphotography  karbiwedding  karbichristianwedding  katwedding  katsweddingdimapur       s   godoxad400prophotography  weddinginspiration  weddingphotographer  kats wedding dresses",0.425,Positive
Just posted a photo @ Gauhati  ,     created memory. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . photography  photooftheday  love  instagood  instagram  photo  nature  picoftheday  like  follow  beautiful  fashion  art  photographer  bhfyp  likeforlikes  travel  instadaily  photoshoot  me  smile  model  naturephotography  myself  style  instalike  followme  likes  happy  bhfyp,26.150686,91.730339,0,2021-11-14 16:10:32,Just posted a photo @ Gauhati        created memory. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . photography  photooftheday  love  instagood  instagram  photo  nature  picoftheday  like  follow  beautiful  fashion  art  photographer  bhfyp  likeforlikes  travel  instadaily  photoshoot  me  smile  model  naturephotography  myself  style  instalike  followme  likes  happy  bhfyp,0.6125,Very Positive
"moodsparkles 
.
.
.
#ootdfashion #ootd #mondayvibes #picoftheday #explore #trending #instapost #instadailyphoto…  moodsparkles 
.
.
.
#ootdfashion #ootd #mondayvibes #picoftheday #explore #trending #instapost #instadailyphoto #explorepagesparkles  #bloggerfashion @ Guwahati, Assam  ", mood  . . .  ootdfashion  ootd  mondayvibes  picoftheday  explore  trending  instapost  instadailyphoto  explorepage   bloggerfashion,26.1217733,91.806216,0,2021-11-15 07:37:06,"moodsparkles 
.
.
.
#ootdfashion #ootd #mondayvibes #picoftheday #explore #trending #instapost #instadailyphoto…  moodsparkles 
.
.
.
#ootdfashion #ootd #mondayvibes #picoftheday #explore #trending #instapost #instadailyphoto #explorepagesparkles  #bloggerfashion @ Guwahati, Assam    mood  . . .  ootdfashion  ootd  mondayvibes  picoftheday  explore  trending  instapost  instadailyphoto  explorepage   bloggerfashion",0,Neutral
Clg Time @ Assam  , Clg Time,26.14,91.77,0,2021-11-15 10:58:46,Clg Time @ Assam    Clg Time,0,Neutral
মণিপুৰত অঘটনৰ অসম ৰাইফলছৰ জোৱানৰ ওপৰত আক্ৰমণত শ্বহীদ সুমন স্বৰ্গীয়াৰীৰ সহ মুঠ ৬ জন মৃত্যুত গভীৰ শোক প্ৰকাশ কৰিছোঁ…  মণিপুৰত অঘটনৰ অসম ৰাইফলছৰ জোৱানৰ ওপৰত আক্ৰমণত শ্বহীদ সুমন স্বৰ্গীয়াৰীৰ সহ মুঠ ৬ জন মৃত্যুত গভীৰ শোক প্ৰকাশ কৰিছোঁ আৰু তেখসকলৰ পৰিয়ালবৰ্গলৈ গভীৰ সমবেদনা জনাইছোঁ। দেশমাতৃৰ সেৱাৰ বাবে আত্মবলিদান আমি সদায় স্মৰণ কৰিব।  ,                                                                                                                                                                                                                        ,26.150686,91.730339,0,2021-11-14 19:47:04,Aghatanara manipurata including Assam raaiphalachara joraanara oparata akramanata sbahida Suman sbargiyaraira mutha 6 mrtyuta gabhira prakasa karaichom shock ... manipurata aghatanara uneven raaiphalachara joraanara oparata akramanata sbahida mutha 6 mrtyuta including Suman sbargiyaraira gabhira shock prakasa karaichom arau tekhasakalara paraiyalabargalai gabhira janaichom sympathy. We will always remember our sacrifices for the service of the motherland.,-0.2,Negative
@yamigautam sweet Pretty smiling face with heart eyes   smiling face with heart eyes  red heart red heart smiling face with open hands  @ Ghy  ,  yamigautam sweet Pretty          ,26.1811,91.73795,0,2021-11-15 14:18:51,@yamigautam sweet Pretty smiling face with heart eyes   smiling face with heart eyes  red heart red heart smiling face with open hands  @ Ghy     yamigautam sweet Pretty          ,0.171428571428571,Positive
Just posted a photo @ Gauhati  ,  travelling with you is like travelling home no matter where we are headed  you are my home  my love  . . Location  Deepor Beel  Guwahati  Assam  India . . Canon EOS 1200D Canon EF S 24mm f 2.8 STM Project 365 Project 12x12 . . . . .  guwahati  assam  northeastindia  sunset  sunsets  cloudy  cloud  lake  train  railway  nature  earth  landscape  landscapes  tones  agameoftones  moody  moodygrams   soi  canon  canonasia  voyaged  indiapictures  incredibleindia  outlooktraveller  cntravellerindia  lonelyplanetindia  theuncommonbox  yourshotphotographer  NGTIndia,26.150686,91.730339,0,2021-11-15 17:08:25,Just posted a photo @ Gauhati     travelling with you is like travelling home no matter where we are headed  you are my home  my love  . . Location  Deepor Beel  Guwahati  Assam  India . . Canon EOS 1200D Canon EF S 24mm f 2.8 STM Project 365 Project 12x12 . . . . .  guwahati  assam  northeastindia  sunset  sunsets  cloudy  cloud  lake  train  railway  nature  earth  landscape  landscapes  tones  agameoftones  moody  moodygrams   soi  canon  canonasia  voyaged  indiapictures  incredibleindia  outlooktraveller  cntravellerindia  lonelyplanetindia  theuncommonbox  yourshotphotographer  NGTIndia,0.5,Positive
Just posted a photo @ Guwahati Assam India  , ,26.10452,91.5913099,0,2021-11-16 08:40:49,Just posted a photo @ Guwahati Assam India    ,0,Neutral
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-11-15 16:57:04,Just posted a photo @ Gauhati   ,0,Neutral
"Awareness programme on Deceased Organ Donation by @womanfromassam from @zubleefoundation . @ Mssv, Guwahati  ", Awareness programme on Deceased Organ Donation by  womanfromassam from  zubleefoundation .   foracause,26.15922785,91.7629643,0,2021-11-15 17:46:54,"Awareness programme on Deceased Organ Donation by @womanfromassam from @zubleefoundation . @ Mssv, Guwahati    Awareness programme on Deceased Organ Donation by  womanfromassam from  zubleefoundation .   foracause",0,Neutral
"@yamigautam  good morning Angel 11 Days LEFT Then #yamigautamday
#yamigautam #advhappybirthdayyamigautam…  @yamigautam  good morning Angel 11 Days LEFT Then #yamigautamday
#yamigautam #advhappybirthdayyamigautam #28thnovember Coming @ Ghy  ",  yamigautam  good morning Angel 11 Days LEFT Then  yamigautamday  yamigautam  advhappybirthdayyamigautam  28thnovember Coming  11daysleft,26.1811,91.73795,0,2021-11-16 03:41:15,"@yamigautam  good morning Angel 11 Days LEFT Then #yamigautamday
#yamigautam #advhappybirthdayyamigautam…  @yamigautam  good morning Angel 11 Days LEFT Then #yamigautamday
#yamigautam #advhappybirthdayyamigautam #28thnovember Coming @ Ghy     yamigautam  good morning Angel 11 Days LEFT Then  yamigautamday  yamigautam  advhappybirthdayyamigautam  28thnovember Coming  11daysleft",0.35,Positive
@ashwinikumar gogoi @journalist ashwainikumargogoi #awesome photographers #photographycamera  #Photography…  @ashwinikumar gogoi @journalist ashwainikumargogoi #awesome photographers #photographycamera  #Photography #photographylovers #photos #pictureoftheday @ Guwahati Assam India  ,  ashwinikumar gogoi  journalist ashwainikumargogoi  awesome photographers  photography   Photography  photographylovers  photos  pictureoftheday,26.10452,91.5913099,0,2021-11-16 08:48:15,@ashwinikumar gogoi @journalist ashwainikumargogoi #awesome photographers #photographycamera  #Photography…  @ashwinikumar gogoi @journalist ashwainikumargogoi #awesome photographers #photographycamera  #Photography #photographylovers #photos #pictureoftheday @ Guwahati Assam India     ashwinikumar gogoi  journalist ashwainikumargogoi  awesome photographers  photography   Photography  photographylovers  photos  pictureoftheday,1,Very Positive
Just posted a photo @ Chocoholic  , Chocolate Cake  chocoholic guwahati  . . . .  CHOCOHOLIC  provides you exotic mouth watering homemade fresh   hygienic  chocolates and eggless cakes along with best dessert s in the town . We take advance orders for all occasions to serve you homebaked fresh yummy goodies.  We take orders for all the events    Marriage party dessert table   birthday parties   kitty parties etc .  Please call  70020 48976 for more information and pricing...  ORDER NOW    7002048976        CHOCOHOLIC GUWAHATI     guwahaticake  guwahaticity  guwahatiplus  guwahatiblogger  guwahatiblogger    guwahatidiaries  guwahatifoodie  guwahatihampers  guwahatitimes  guwahati diaries  guwahaticity    okguwahati  iitguwahati  guwahaticityfc  guwahatiassam  guwahatifoodie  assam  india  cricket  hotstar  reels  reel  trend  trendingnow  chocoholicguwahati   chocoholic   reelkarofeelkaro  trendigsong  viralsong  veganfood  vegcake  cake,26.15143874,91.74908984,0,2021-11-15 14:44:23,Just posted a photo @ Chocoholic    Chocolate Cake  chocoholic guwahati  . . . .  CHOCOHOLIC  provides you exotic mouth watering homemade fresh   hygienic  chocolates and eggless cakes along with best dessert s in the town . We take advance orders for all occasions to serve you homebaked fresh yummy goodies.  We take orders for all the events    Marriage party dessert table   birthday parties   kitty parties etc .  Please call  70020 48976 for more information and pricing...  ORDER NOW    7002048976        CHOCOHOLIC GUWAHATI     guwahaticake  guwahaticity  guwahatiplus  guwahatiblogger  guwahatiblogger    guwahatidiaries  guwahatifoodie  guwahatihampers  guwahatitimes  guwahati diaries  guwahaticity    okguwahati  iitguwahati  guwahaticityfc  guwahatiassam  guwahatifoodie  assam  india  cricket  hotstar  reels  reel  trend  trendingnow  chocoholicguwahati   chocoholic   reelkarofeelkaro  trendigsong  viralsong  veganfood  vegcake  cake,0.52,Very Positive
"@journalist ashwainikumargogoi @ashwinikumar gogoi 
#kamakhya #maligaon #photographycamera  #journalist #day…  @journalist ashwainikumargogoi @ashwinikumar gogoi 
#kamakhya #maligaon #photographycamera  #journalist #day #awesomeearth @ Guwahati Assam India  ",  journalist ashwainikumargogoi  ashwinikumar gogoi   kamakhya  maligaon  photography   journalist  day  awesomeearth,26.10452,91.5913099,0,2021-11-16 06:53:20,"@journalist ashwainikumargogoi @ashwinikumar gogoi 
#kamakhya #maligaon #photographycamera  #journalist #day…  @journalist ashwainikumargogoi @ashwinikumar gogoi 
#kamakhya #maligaon #photographycamera  #journalist #day #awesomeearth @ Guwahati Assam India     journalist ashwainikumargogoi  ashwinikumar gogoi   kamakhya  maligaon  photography   journalist  day  awesomeearth",0,Neutral
"Just posted a photo @ Diphu, Karbi Anglong, Assam  ", ,26.1524519,91.7893849,0,2021-11-17 15:11:42,"Just posted a photo @ Diphu, Karbi Anglong, Assam    ",0,Neutral
দিয়া মোক দিয়া সুবিশাল এটি মন.. @ Department of Communication And Journalism  ,,26.153741,91.664011,0,2021-11-17 17:54:50,িয়া Department of Communication And Journalism,0,Neutral
Just posted a photo @ Guwahati Assam India  , Overnight stay at MV Ayuddha at  kurua  guwahati   The vessel has 05 Rooms with attached bath facility.   For further details reach us www.teacountry.in   brahamaputra  river   overnightstay   teacountryindia   comfortablestay   riverbank   new   guwahati,26.10452,91.5913099,0,2021-11-17 18:29:38,Just posted a photo @ Guwahati Assam India    Overnight stay at MV Ayuddha at  kurua  guwahati   The vessel has 05 Rooms with attached bath facility.   For further details reach us www.teacountry.in   brahamaputra  river   overnightstay   teacountryindia   comfortablestay   riverbank   new   guwahati,0.068181818181818,Positive
Ignoring group texts is exhausting. ,,26.1051861,91.58874956,0,2021-11-17 19:47:59,Ignoring group texts is exhausting.  ,-0.4,Negative
Just posted a photo @ Chocoholic  ,   Cake time    CHOCOHOLIC  provides you exotic mouth watering homemade fresh   hygienic  chocolates and eggless cakes along with best dessert s in the town . We take advance orders for all occasions to serve you homebaked fresh yummy goodies.  We take orders for all the events    Marriage party dessert table   birthday parties   kitty parties etc .  Please call  70020 48976 for more information and pricing...  ORDER NOW    7002048976        CHOCOHOLIC GUWAHATI     guwahaticake  guwahaticity  guwahatiplus  guwahatiblogger  guwahatiblogger    guwahatidiaries  guwahatifoodie  guwahatihampers  guwahatitimes  guwahati diaries  guwahaticity    okguwahati  iitguwahati  guwahaticityfc  guwahatiassam  guwahatifoodie  assam  india  cricket  hotstar  reels  reel  trend  trendingnow  chocoholicguwahati   chocoholic   reelkarofeelkaro  trendigsong  viralsong  veganfood  vegcake  cake,26.15143874,91.74908984,0,2021-11-16 12:01:21,Just posted a photo @ Chocoholic      Cake time    CHOCOHOLIC  provides you exotic mouth watering homemade fresh   hygienic  chocolates and eggless cakes along with best dessert s in the town . We take advance orders for all occasions to serve you homebaked fresh yummy goodies.  We take orders for all the events    Marriage party dessert table   birthday parties   kitty parties etc .  Please call  70020 48976 for more information and pricing...  ORDER NOW    7002048976        CHOCOHOLIC GUWAHATI     guwahaticake  guwahaticity  guwahatiplus  guwahatiblogger  guwahatiblogger    guwahatidiaries  guwahatifoodie  guwahatihampers  guwahatitimes  guwahati diaries  guwahaticity    okguwahati  iitguwahati  guwahaticityfc  guwahatiassam  guwahatifoodie  assam  india  cricket  hotstar  reels  reel  trend  trendingnow  chocoholicguwahati   chocoholic   reelkarofeelkaro  trendigsong  viralsong  veganfood  vegcake  cake,0.52,Very Positive
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-11-16 16:09:46,Just posted a photo @ Gauhati   ,0,Neutral
Just posted a photo @ Assam  , ,26.14,91.77,0,2021-11-16 09:58:56,Just posted a photo @ Assam    ,0,Neutral
Just posted a photo @ Umananda Island  , In Assam province is the  Umananda  island  the smallest river island in the world  located in the midst of the mighty  Brahmaputra river.  umananda has been attracting tourists from the nook and corner of world as it holds a historical significance. .                                                                                                                   . . .  .                                                Follow                             YOUTUBE CHANNEL       SUBSCRIBE       . PAGE       FOLLOW      POST   STORY NOTIFICATION   on       . Fallow  generalknowledgeinkannada . Facebook page https   gkik.page.link GkikFB . Instagram page https   gkik.page.link Gkikinsta .  YOUTUBE CHANNEL https   gkik.page.link GkikYT .  Twitter  https   gkik.page.link GkikTwitter .  .   generalknowledgeinkannada  gkik  news  currentaffairs  kannada  facts  kannadafacts  island  assam  Guwahati,26.1964,91.745,0,2021-11-17 04:01:00,Just posted a photo @ Umananda Island    In Assam province is the  Umananda  island  the smallest river island in the world  located in the midst of the mighty  Brahmaputra river.  umananda has been attracting tourists from the nook and corner of world as it holds a historical significance. .                                                                                                                   . . .  .                                                Follow                             YOUTUBE CHANNEL       SUBSCRIBE       . PAGE       FOLLOW      POST   STORY NOTIFICATION   on       . Fallow  generalknowledgeinkannada . Facebook page https   gkik.page.link GkikFB . Instagram page https   gkik.page.link Gkikinsta .  YOUTUBE CHANNEL https   gkik.page.link GkikYT .  Twitter  https   gkik.page.link GkikTwitter .  .   generalknowledgeinkannada  gkik  news  currentaffairs  kannada  facts  kannadafacts  island  assam  Guwahati,0.2,Positive
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-11-17 06:06:40,Just posted a photo @ Gauhati   ,0,Neutral
"#Apartment in Aashiana Laxmi View, #Guwahati #3BHK #Flat #ForSale #GandhiBasti #Residential #Property
 ",,26.181051,91.760532,0,2021-11-17 06:49:38,"#Apartment in Aashiana Laxmi View, #Guwahati #3BHK #Flat #ForSale #GandhiBasti #Residential #Property
  ",-0.025,Negative
"সুখী হোৱাৰ সমীকৰণ 
নিজতেই বান্ধি ল'লো!sign of the horns light skin tone  @ RED AV Studio  ",                                         ,26.17459734,91.77874186,0,2021-11-17 10:11:54,"The equation of being happy
Signed the horns light skin tone @ RED ​​AV Studio",0.4,Positive
Waxoyl. Keeps Car New. @ Power Carbons Pvt Ltd  ,,26.18532832,91.78717288,0,2021-11-17 03:06:43,Waxoyl. Keeps Car New. @ Power Carbons Pvt Ltd   ,0.136363636363636,Positive
Just posted a photo @ The RAW GYM  , Selfie time after Training session with Dy calender girls.   MiDyCalendarGirl   XiaomiAssam   Mi . . . . .  fitnessgirl  fitness  fitnessmotivation  fit  gym  fitnessmodel  workout  motivation  bodybuilding  fitnessjourney  gymmotivation  fitgirl  gymlife  fitnessaddict  fitfam  fitnesslife  healthylifestyle  fitnesslifestyle  training  lifestyle  sport  love  instafit  instagood  healthy  personaltrainer  fitspo,26.1514318,91.79243823,0,2021-11-17 09:54:46,Just posted a photo @ The RAW GYM    Selfie time after Training session with Dy calender girls.   MiDyCalendarGirl   XiaomiAssam   Mi . . . . .  fitnessgirl  fitness  fitnessmotivation  fit  gym  fitnessmodel  workout  motivation  bodybuilding  fitnessjourney  gymmotivation  fitgirl  gymlife  fitnessaddict  fitfam  fitnesslife  healthylifestyle  fitnesslifestyle  training  lifestyle  sport  love  instafit  instagood  healthy  personaltrainer  fitspo,0.292307692307692,Positive
"@yamigautam #10daysleft red heart red heart  then
#yamigautamday #yamigautam #advhappybirthdayyamigautam @ Ghy  ",  yamigautam  10daysleft      then  yamigautamday  yamigautam  advhappybirthdayyamigautam,26.1811,91.73795,0,2021-11-17 03:43:11,"@yamigautam #10daysleft red heart red heart  then
#yamigautamday #yamigautam #advhappybirthdayyamigautam @ Ghy     yamigautam  10daysleft      then  yamigautamday  yamigautam  advhappybirthdayyamigautam",0,Neutral
Just posted a photo @ Assam  , ,26.14,91.77,0,2021-11-17 06:21:39,Just posted a photo @ Assam    ,0,Neutral
Just posted a photo @ Guwahati Assam India  ,  I feel like I m nothing without wildlife. They are the stars. I feel awkward without them.  . . . . . . . .  wildlife  nature  wildlifephotography  naturephotography  birds  photography  animals  bird  naturelovers  animal  wild  photooftheday  birdsofinstagram  love  travel  birdphotography  perfection  ig  canon  nikon  birdwatching  of  instagood  art  macro  captures  natgeo  bhfyp  instagram  bhfyp,26.10452,91.5913099,0,2021-11-17 09:52:37,Just posted a photo @ Guwahati Assam India     I feel like I m nothing without wildlife. They are the stars. I feel awkward without them.  . . . . . . . .  wildlife  nature  wildlifephotography  naturephotography  birds  photography  animals  bird  naturelovers  animal  wild  photooftheday  birdsofinstagram  love  travel  birdphotography  perfection  ig  canon  nikon  birdwatching  of  instagood  art  macro  captures  natgeo  bhfyp  instagram  bhfyp,0,Neutral
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-11-17 11:32:40,Just posted a photo @ Gauhati   ,0,Neutral
Just posted a photo @ Assam  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Team  kishmaventure  free  OnlineWorkshop,26.14,91.77,0,2021-11-18 08:46:21,Just posted a photo @ Assam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Team  kishmaventure  free  OnlineWorkshop,0.4,Positive
Just posted a photo @ The Little Bistro  , And the story continues...  . . . .                             newsongcomingsoon   newsongalert   ppb   pranabpriyankushbaruah   jirijiri  independentartist  independentmusic  assamese  assamesesong  ghy  jorhat  axomia  explore  explorepage  exploremore,26.17808605,91.77545071,0,2021-11-18 11:40:57,Just posted a photo @ The Little Bistro    And the story continues...  . . . .                             newsongcomingsoon   newsongalert   ppb   pranabpriyankushbaruah   jirijiri  independentartist  independentmusic  assamese  assamesesong  ghy  jorhat  axomia  explore  explorepage  exploremore,-0.1875,Negative
Just posted a photo @ Assam  ,                                                   assameseyoutuber  rakhpuja  nitishkrray  nitishkumarray  assamesetraveller  pujavacation  puja  rakhmohotsov  rakhmohotsav  rakhmela  assamesetreditionaldress  assamesetredition  sisterinlaw  gaumusa  bihuwan  assamesevlog  assamesevlogger  vlogassamese  vlogger,26.14,91.77,0,2021-11-18 12:57:42,Just posted a photo @ Assam                                                      assameseyoutuber  rakhpuja  nitishkrray  nitishkumarray  assamesetraveller  pujavacation  puja  rakhmohotsov  rakhmohotsav  rakhmela  assamesetreditionaldress  assamesetredition  sisterinlaw  gaumusa  bihuwan  assamesevlog  assamesevlogger  vlogassamese  vlogger,0,Neutral
